year,month,rainfall_mm,temp_mean_C,temp_max_C,temp_min_C,humidity_pct,pressure_kPa,wind_speed_ms,month_name,date
1990,1,36.92,27.48741935483871,33.63741935483871,22.950322580645164,70.51516129032258,99.84612903225806,1.0187096774193547,January,1990-01-01
1990,2,98.45,28.083928571428572,34.75178571428571,23.05392857142857,69.37571428571428,99.86357142857142,1.1457142857142857,February,1990-02-01
1990,3,70.49,28.695806451612906,34.81258064516129,24.168709677419354,71.60709677419355,99.84677419354838,1.1700000000000002,March,1990-03-01
1990,4,251.53,26.527333333333335,30.549,23.508666666666667,86.06533333333333,99.83666666666666,1.1340000000000001,April,1990-04-01
1990,5,187.32,25.471612903225807,28.98,22.756129032258066,90.06322580645161,100.01032258064517,1.042258064516129,May,1990-05-01
1990,6,199.57999999999998,24.828,28.348,22.21066666666667,90.038,100.16366666666666,1.1503333333333332,June,1990-06-01
1990,7,104.21,23.69161290322581,27.86,20.6658064516129,88.15387096774194,100.20548387096774,1.4138709677419354,July,1990-07-01
1990,8,33.37,24.405161290322578,29.565806451612904,20.812903225806455,81.80677419354838,100.23290322580644,1.3896774193548387,August,1990-08-01
1990,9,136.4,25.219,30.538666666666664,21.761333333333333,81.78099999999999,100.09166666666667,1.2289999999999999,September,1990-09-01
1990,10,192.15,25.35516129032258,29.780645161290323,22.09,86.50483870967743,100.00612903225807,0.966774193548387,October,1990-10-01
1990,11,114.63,26.229,30.99866666666667,22.658333333333335,82.45433333333334,99.91433333333333,0.8923333333333333,November,1990-11-01
1990,12,80.26,26.574516129032258,31.71483870967742,22.68548387096774,78.96645161290323,99.8816129032258,0.8935483870967742,December,1990-12-01
1991,1,20.34,27.401290322580643,33.19870967741936,22.86225806451613,71.28870967741935,99.90451612903226,0.9716129032258065,January,1991-01-01
1991,2,49.31,28.00392857142857,33.66857142857143,23.830000000000002,72.83,99.88714285714286,1.3164285714285715,February,1991-02-01
1991,3,70.59,28.03322580645161,33.35548387096774,24.15064516129032,74.83258064516129,99.7625806451613,1.2651612903225806,March,1991-03-01
1991,4,171.91,26.728333333333335,31.440333333333335,23.398666666666667,81.78833333333334,99.863,1.2006666666666668,April,1991-04-01
1991,5,332.64,25.701290322580647,29.062258064516126,23.13290322580645,88.96387096774194,99.92677419354838,1.0619354838709678,May,1991-05-01
1991,6,207.4,25.191666666666666,28.665000000000003,22.637666666666668,90.316,100.098,1.059,June,1991-06-01
1991,7,208.45,23.91548387096774,27.572580645161292,21.31451612903226,90.03290322580645,100.22419354838709,1.3248387096774195,July,1991-07-01
1991,8,122.52,23.52516129032258,27.585806451612903,20.728709677419356,89.42483870967742,100.25870967741936,1.5083870967741935,August,1991-08-01
1991,9,102.61,24.27,28.526333333333334,21.24233333333333,88.275,100.17,1.1883333333333332,September,1991-09-01
1991,10,153.61,24.198709677419355,28.448709677419355,21.119032258064518,87.61419354838709,100.06258064516129,1.0380645161290323,October,1991-10-01
1991,11,49.53,26.041999999999998,30.993,22.161,80.69866666666667,99.96033333333334,0.8633333333333333,November,1991-11-01
1991,12,6.83,27.69483870967742,33.71774193548387,23.040967741935482,68.02451612903225,99.90290322580644,0.9161290322580645,December,1991-12-01
1992,1,6.31,27.623548387096776,35.47483870967742,21.554193548387094,55.73096774193549,99.89645161290322,1.1096774193548387,January,1992-01-01
1992,2,38.37,29.22689655172414,36.013103448275864,24.090689655172415,64.9548275862069,99.88344827586207,1.273103448275862,February,1992-02-01
1992,3,129.21,28.03451612903226,33.75967741935484,23.896451612903224,73.96032258064515,99.79161290322581,1.2654838709677418,March,1992-03-01
1992,4,166.2,26.918666666666663,31.172,23.811666666666667,83.663,99.85566666666666,1.1146666666666667,April,1992-04-01
1992,5,220.85,25.989354838709676,29.72967741935484,23.197741935483872,86.52741935483871,99.96354838709676,1.1112903225806452,May,1992-05-01
1992,6,199.15,24.490333333333336,28.165666666666667,21.909333333333333,89.63033333333333,100.161,1.3,June,1992-06-01
1992,7,116.99,23.353225806451615,27.35741935483871,20.581612903225807,88.84483870967742,100.30096774193548,1.477741935483871,July,1992-07-01
1992,8,24.14,23.87451612903226,29.023548387096774,20.06483870967742,79.38967741935484,100.32096774193548,1.6003225806451613,August,1992-08-01
1992,9,122.02,24.817666666666664,30.236666666666668,21.175,80.03166666666667,100.06466666666667,1.4276666666666666,September,1992-09-01
1992,10,164.69,25.14483870967742,29.659032258064514,22.009354838709676,85.00354838709679,100.06645161290322,1.0835483870967744,October,1992-10-01
1992,11,52.02,25.915000000000003,30.904333333333334,22.200333333333333,79.60566666666666,99.923,0.8856666666666667,November,1992-11-01
1992,12,26.09,27.35516129032258,33.20580645161291,22.91322580645161,72.19935483870967,99.8941935483871,0.9919354838709677,December,1992-12-01
1993,1,17.49,27.54290322580645,35.10354838709677,21.626451612903224,60.00806451612903,99.95903225806451,1.1474193548387097,January,1993-01-01
1993,2,46.06,28.208571428571428,34.43035714285714,23.634642857142858,68.4525,99.86642857142859,1.399642857142857,February,1993-02-01
1993,3,232.16,26.195483870967742,30.631612903225808,22.830967741935485,81.59483870967742,99.94258064516129,1.137741935483871,March,1993-03-01
1993,4,165.9,26.151666666666664,29.88533333333333,23.39966666666667,87.43666666666667,99.84066666666666,1.065,April,1993-04-01
1993,5,211.41,25.65967741935484,28.833870967741937,23.29806451612903,91.0583870967742,99.91451612903225,1.124516129032258,May,1993-05-01
1993,6,345.36,24.622666666666664,28.156333333333336,22.092666666666666,90.55966666666667,100.173,1.1983333333333335,June,1993-06-01
1993,7,134.98,23.43032258064516,27.20967741935484,20.770967741935483,89.54516129032258,100.23483870967742,1.3900000000000001,July,1993-07-01
1993,8,88.16,23.436774193548384,27.495483870967742,20.54741935483871,89.02580645161291,100.24096774193548,1.4141935483870969,August,1993-08-01
1993,9,196.81,24.287666666666667,28.149,21.531333333333336,89.35566666666666,100.09433333333332,1.131,September,1993-09-01
1993,10,178.69,25.055806451612902,28.82774193548387,22.220322580645163,89.54548387096774,100.00967741935484,0.9338709677419355,October,1993-10-01
1993,11,116.36,25.457666666666668,29.492,22.354666666666667,87.64466666666667,99.86233333333332,0.8623333333333334,November,1993-11-01
1993,12,49.690000000000005,26.404838709677417,31.022903225806452,22.714193548387097,80.70612903225806,99.86064516129032,0.7848387096774193,December,1993-12-01
1994,1,31.59,27.123548387096776,32.986774193548385,22.52548387096774,72.33322580645161,99.81322580645161,0.9706451612903225,January,1994-01-01
1994,2,33.879999999999995,28.19607142857143,34.43071428571428,23.474285714285713,70.44250000000001,99.85249999999999,1.2249999999999999,February,1994-02-01
1994,3,107.94,27.45709677419355,32.66161290322581,23.673870967741934,77.34870967741935,99.83612903225807,1.216451612903226,March,1994-03-01
1994,4,179.03,26.839,31.085666666666665,23.816,83.68,99.82033333333334,1.186,April,1994-04-01
1994,5,213.68,25.493548387096773,28.88064516129032,22.921612903225807,90.03451612903227,99.99483870967742,0.9725806451612903,May,1994-05-01
1994,6,255.05,24.716666666666665,28.319000000000003,22.037666666666667,89.88733333333333,100.14866666666667,1.2183333333333333,June,1994-06-01
1994,7,67.56,23.57193548387097,27.64548387096774,20.690967741935484,88.87548387096774,100.23129032258065,1.4061290322580646,July,1994-07-01
1994,8,63.120000000000005,24.299999999999997,29.111612903225808,20.98774193548387,83.50870967741936,100.16387096774193,1.5419354838709676,August,1994-08-01
1994,9,146.85,24.645666666666667,29.573666666666668,21.456333333333337,84.09066666666666,100.12566666666666,1.4796666666666667,September,1994-09-01
1994,10,308.37,24.649032258064516,28.21193548387097,22.021290322580644,89.96064516129032,99.96967741935484,0.9664516129032258,October,1994-10-01
1994,11,65.99,25.325666666666667,29.320666666666668,22.16433333333333,87.144,99.96833333333333,0.7523333333333333,November,1994-11-01
1994,12,12.21,26.40838709677419,32.167741935483875,21.820322580645165,72.9841935483871,99.96129032258065,0.8541935483870968,December,1994-12-01
1995,1,13.02,27.875806451612902,34.78290322580645,22.52709677419355,64.28451612903226,99.94322580645162,0.8925806451612904,January,1995-01-01
1995,2,21.509999999999998,28.295714285714286,34.13428571428572,23.957142857142856,68.63035714285715,99.94464285714285,1.2939285714285713,February,1995-02-01
1995,3,157.24,27.167096774193546,32.122580645161285,23.601290322580645,80.00935483870968,99.81387096774193,1.1174193548387097,March,1995-03-01
1995,4,207.12,26.708000000000002,30.539333333333335,23.846333333333334,85.98166666666665,99.732,1.062,April,1995-04-01
1995,5,172.69,25.733225806451614,28.853225806451615,23.32741935483871,90.43451612903225,99.90548387096774,0.9609677419354838,May,1995-05-01
1995,6,289.18,25.108999999999998,28.541666666666668,22.584999999999997,90.329,100.086,1.1563333333333332,June,1995-06-01
1995,7,122.99,24.080322580645163,27.811612903225804,21.425806451612903,89.70774193548387,100.05935483870968,1.4651612903225808,July,1995-07-01
1995,8,155.46,24.049032258064514,27.764193548387095,21.563225806451616,90.12483870967742,100.09612903225806,1.4119354838709677,August,1995-08-01
1995,9,153.03,24.226333333333333,28.211333333333336,21.543,89.736,100.12933333333334,1.3703333333333334,September,1995-09-01
1995,10,139.85,24.641935483870967,28.538709677419355,21.701612903225808,89.01806451612903,99.97612903225807,0.9874193548387097,October,1995-10-01
1995,11,79.69,25.965,30.429,22.54866666666667,84.32766666666666,99.91233333333334,0.818,November,1995-11-01
1995,12,38.44,26.546774193548387,31.634516129032257,22.716129032258067,76.22612903225807,99.95709677419354,0.8432258064516129,December,1995-12-01
1996,1,19.76,27.453548387096777,33.23096774193549,23.07709677419355,73.08387096774193,99.76548387096774,1.0154838709677418,January,1996-01-01
1996,2,41.98,27.610689655172415,33.02068965517241,23.684137931034485,74.0044827586207,99.74862068965517,1.3579310344827586,February,1996-02-01
1996,3,107.84,26.964193548387097,31.708064516129035,23.61258064516129,79.90806451612903,99.77258064516128,1.2693548387096774,March,1996-03-01
1996,4,145.66,26.817999999999998,31.018666666666668,23.772333333333332,84.15333333333334,99.76766666666666,1.0616666666666668,April,1996-04-01
1996,5,290.92,25.937096774193545,29.384838709677418,23.34741935483871,88.75548387096775,99.92774193548387,1.0767741935483872,May,1996-05-01
1996,6,253.53,24.811666666666667,28.398000000000003,22.201999999999998,90.32533333333335,100.09333333333333,1.281,June,1996-06-01
1996,7,205.99,23.788064516129033,27.59032258064516,21.043225806451613,89.8016129032258,100.2432258064516,1.3141935483870968,July,1996-07-01
1996,8,121.09,23.651290322580646,27.765806451612903,20.83516129032258,89.37064516129033,100.1741935483871,1.4593548387096775,August,1996-08-01
1996,9,75.8,23.985666666666667,28.587333333333333,20.857666666666667,87.54266666666668,100.086,1.3823333333333332,September,1996-09-01
1996,10,149.78,24.849032258064515,29.45967741935484,21.549677419354836,86.19548387096773,99.9990322580645,1.1283870967741934,October,1996-10-01
1996,11,78.23,26.455,31.881666666666668,22.561,78.64699999999999,99.86833333333334,0.8803333333333333,November,1996-11-01
1996,12,24.96,27.313548387096777,33.42225806451613,22.811935483870965,73.07193548387097,99.89129032258064,0.9670967741935484,December,1996-12-01
1997,1,42.41,27.453225806451613,33.339354838709674,23.098064516129032,72.95193548387097,99.85903225806452,1.1061290322580646,January,1997-01-01
1997,2,21.45,28.5275,35.78642857142857,23.082500000000003,64.83535714285713,99.88321428571429,1.184642857142857,February,1997-02-01
1997,3,277.08,27.366129032258065,32.22741935483871,23.937096774193545,79.68903225806451,99.79903225806451,1.115483870967742,March,1997-03-01
1997,4,307.32,25.357000000000003,28.68566666666667,22.841,90.44366666666666,99.97933333333334,1.0919999999999999,April,1997-04-01
1997,5,306.31,25.443870967741937,28.725483870967743,22.983870967741936,91.13935483870968,100.03903225806452,1.0338709677419353,May,1997-05-01
1997,6,378.56,24.328333333333333,27.805999999999997,21.901,91.265,100.08833333333334,1.413,June,1997-06-01
1997,7,79.62,23.444193548387098,27.228387096774195,20.75032258064516,89.86806451612902,100.29483870967742,1.450967741935484,July,1997-07-01
1997,8,46.72,23.638387096774192,27.99967741935484,20.450322580645164,88.63774193548387,100.26903225806453,1.3687096774193548,August,1997-08-01
1997,9,66.77,24.791333333333334,29.46033333333333,21.483,85.38733333333333,100.10100000000001,1.2776666666666665,September,1997-09-01
1997,10,142.47,26.05258064516129,30.54774193548387,22.905806451612904,84.68612903225807,99.95903225806451,1.0003225806451614,October,1997-10-01
1997,11,62.14,27.130333333333333,32.13633333333333,23.436666666666667,78.71033333333334,99.913,0.919,November,1997-11-01
