date,rainfall_mm,temp_mean_C,temp_max_C,temp_min_C,humidity_pct,pressure_kPa,wind_speed_ms,year,month
1990-01-01,0.26,26.82,31.19,23.17,75.81,100.0,0.79,1990,1
1990-01-02,0.26,26.01,29.82,23.48,78.9,99.95,0.66,1990,1
1990-01-03,0.15,27.41,33.87,22.45,71.07,99.96,0.79,1990,1
1990-01-04,0.13,27.68,34.51,22.23,70.22,99.96,1.03,1990,1
1990-01-05,0.29,27.84,34.32,22.87,70.26,99.87,1.22,1990,1
1990-01-06,4.87,27.26,32.78,23.34,74.24,99.9,0.97,1990,1
1990-01-07,3.11,26.85,32.22,22.92,77.86,99.92,0.94,1990,1
1990-01-08,1.07,27.08,32.96,23.06,74.86,99.94,1.19,1990,1
1990-01-09,2.75,26.13,31.91,23.37,75.75,99.97,1.03,1990,1
1990-01-10,3.62,26.6,32.24,22.54,77.04,99.87,0.93,1990,1
1990-01-11,0.14,26.91,31.74,23.15,77.04,99.85,1.08,1990,1
1990-01-12,0.1,27.22,32.5,23.32,74.8,99.85,1.05,1990,1
1990-01-13,0.06,27.6,33.56,22.87,71.17,99.88,1.01,1990,1
1990-01-14,0.15,27.42,33.24,23.33,71.28,99.87,0.81,1990,1
1990-01-15,0.19,27.74,34.47,22.82,71.0,99.82,1.24,1990,1
1990-01-16,0.2,27.49,33.34,23.21,71.58,99.86,1.06,1990,1
1990-01-17,0.06,27.73,34.03,22.73,70.83,99.83,1.23,1990,1
1990-01-18,0.14,27.87,34.12,23.03,69.21,99.8,1.29,1990,1
1990-01-19,0.21,28.09,34.2,23.34,68.85,99.76,1.46,1990,1
1990-01-20,0.14,28.41,34.56,23.55,69.07,99.74,1.0,1990,1
1990-01-21,6.51,27.83,33.29,23.54,74.71,99.73,0.83,1990,1
1990-01-22,10.36,27.13,31.59,23.98,73.49,99.84,0.97,1990,1
1990-01-23,0.95,27.1,34.52,21.43,59.95,99.84,0.86,1990,1
1990-01-24,0.11,27.66,34.95,22.85,60.63,99.8,0.98,1990,1
1990-01-25,0.0,27.6,35.34,22.51,52.95,99.82,0.87,1990,1
1990-01-26,0.01,27.39,35.12,21.5,61.67,99.8,0.84,1990,1
1990-01-27,0.01,27.74,35.34,21.87,66.77,99.77,1.08,1990,1
1990-01-28,0.04,27.68,34.17,22.62,68.19,99.74,0.91,1990,1
1990-01-29,0.12,28.31,35.04,23.24,68.96,99.72,1.12,1990,1
1990-01-30,0.12,28.73,36.04,23.43,68.83,99.76,1.21,1990,1
1990-01-31,0.79,28.78,35.78,23.71,68.98,99.81,1.13,1990,1
1990-02-01,1.44,28.87,35.73,23.8,68.78,99.72,1.17,1990,2
1990-02-02,1.27,28.48,34.84,24.26,71.11,99.73,1.51,1990,2
1990-02-03,1.67,27.66,32.79,24.01,75.09,99.86,1.54,1990,2
1990-02-04,0.52,28.58,35.19,23.22,69.84,99.82,1.12,1990,2
1990-02-05,0.17,29.18,36.47,23.59,65.55,99.81,1.14,1990,2
1990-02-06,0.23,29.27,36.52,23.52,64.74,99.79,0.82,1990,2
1990-02-07,0.09,29.05,36.29,23.37,61.38,99.82,0.81,1990,2
1990-02-08,0.01,28.69,36.74,22.41,53.81,99.89,0.87,1990,2
1990-02-09,0.01,28.39,36.2,22.22,63.42,99.86,1.03,1990,2
1990-02-10,0.0,28.58,36.97,22.04,60.55,99.82,0.85,1990,2
1990-02-11,0.14,28.73,37.19,21.82,62.64,99.83,1.31,1990,2
1990-02-12,0.68,29.21,36.81,22.81,61.48,99.95,1.04,1990,2
1990-02-13,0.19,29.65,37.74,23.19,58.42,99.87,0.88,1990,2
1990-02-14,0.19,29.28,37.35,23.09,64.03,99.81,1.25,1990,2
1990-02-15,2.06,29.08,36.64,23.42,64.95,99.8,1.28,1990,2
1990-02-16,3.94,28.66,35.72,23.77,69.24,99.76,1.34,1990,2
1990-02-17,4.0,28.42,35.38,23.66,71.77,99.81,1.73,1990,2
1990-02-18,6.75,27.91,34.12,23.86,75.45,99.9,1.71,1990,2
1990-02-19,6.74,26.13,29.36,23.71,83.49,100.04,1.06,1990,2
1990-02-20,11.46,26.68,32.3,22.74,79.56,99.96,1.33,1990,2
1990-02-21,18.42,26.54,31.45,23.22,82.02,99.92,1.22,1990,2
1990-02-22,5.88,26.1,30.12,23.28,81.5,99.91,1.13,1990,2
1990-02-23,7.95,26.91,31.86,22.81,74.77,99.97,0.57,1990,2
1990-02-24,12.92,26.63,32.38,22.73,74.33,99.99,0.8,1990,2
1990-02-25,6.07,26.5,32.26,22.18,77.21,99.93,0.93,1990,2
1990-02-26,4.75,27.58,34.12,22.81,69.99,99.86,1.13,1990,2
1990-02-27,0.21,27.75,35.25,21.8,67.16,99.89,1.31,1990,2
1990-02-28,0.69,27.84,35.26,22.17,70.24,99.86,1.2,1990,2
1990-03-01,2.2,27.9,34.63,23.27,70.74,99.94,1.19,1990,3
1990-03-02,1.47,28.02,35.18,22.47,71.7,99.94,1.37,1990,3
1990-03-03,1.19,27.48,32.66,23.16,74.73,99.99,1.29,1990,3
1990-03-04,1.18,28.05,34.69,22.98,73.1,99.95,1.22,1990,3
1990-03-05,1.35,28.21,34.05,24.01,74.47,99.97,1.3,1990,3
1990-03-06,1.16,28.24,34.42,23.82,72.22,99.89,1.2,1990,3
1990-03-07,1.16,28.63,35.71,23.39,70.9,99.85,1.06,1990,3
